Experimento,tA,tM,archivos,tiempoA,tiempoM
Maximo,1,1,['letrasInicialUniforme.txt'],561.671,41.8435
Maximo,1,2,['letrasInicialUniforme.txt'],556.14,20.7336
Maximo,1,3,['letrasInicialUniforme.txt'],559.771,16.646
Maximo,1,4,['letrasInicialUniforme.txt'],555.94,12.7338
Maximo,1,5,['letrasInicialUniforme.txt'],555.805,10.5322
Maximo,1,6,['letrasInicialUniforme.txt'],548.409,9.82991
Maximo,1,7,['letrasInicialUniforme.txt'],558.685,7.82302
Maximo,1,8,['letrasInicialUniforme.txt'],534.711,7.64231
Maximo,1,9,['letrasInicialUniforme.txt'],536.273,6.50851
Maximo,1,10,['letrasInicialUniforme.txt'],543.418,6.29067
Maximo,1,11,['letrasInicialUniforme.txt'],538.616,6.31665
Maximo,1,12,['letrasInicialUniforme.txt'],541.68,6.64129
Maximo,1,13,['letrasInicialUniforme.txt'],540.343,4.39353
Maximo,1,14,['letrasInicialUniforme.txt'],541.919,4.63577
Maximo,1,15,['letrasInicialUniforme.txt'],533.369,5.08683
Maximo,1,16,['letrasInicialUniforme.txt'],543.139,4.7868
Maximo,1,17,['letrasInicialUniforme.txt'],547.85,4.76185
Maximo,1,18,['letrasInicialUniforme.txt'],540.718,4.87866
Maximo,1,19,['letrasInicialUniforme.txt'],536.773,4.81322
Maximo,1,20,['letrasInicialUniforme.txt'],532.897,5.04663
Maximo,1,21,['letrasInicialUniforme.txt'],538.911,5.0735
Maximo,1,22,['letrasInicialUniforme.txt'],552.228,4.71617
Maximo,1,23,['letrasInicialUniforme.txt'],551.157,4.87795
Maximo,1,24,['letrasInicialUniforme.txt'],560.64,4.92763
Maximo,1,25,['letrasInicialUniforme.txt'],570.345,4.87201
Maximo,1,26,['letrasInicialUniforme.txt'],574.632,4.7759
Maximo,1,27,['letrasInicialUniforme.txt'],541.951,4.83463
Maximo,1,28,['letrasInicialUniforme.txt'],534.285,4.82866
Maximo,1,29,['letrasInicialUniforme.txt'],541.281,4.77406
Maximo,1,30,['letrasInicialUniforme.txt'],541.755,5.01507
Maximo,1,31,['letrasInicialUniforme.txt'],551.3,4.82129
Maximo,1,32,['letrasInicialUniforme.txt'],542.855,5.01249
Maximo,1,33,['letrasInicialUniforme.txt'],539.228,4.76304
Maximo,1,34,['letrasInicialUniforme.txt'],546.99,4.8381
Maximo,1,35,['letrasInicialUniforme.txt'],538.417,4.68892
Maximo,1,36,['letrasInicialUniforme.txt'],529.94,4.85603
Maximo,1,37,['letrasInicialUniforme.txt'],529.379,4.88018
Maximo,1,38,['letrasInicialUniforme.txt'],537.051,4.97213
Maximo,1,39,['letrasInicialUniforme.txt'],535.538,5.00366
Maximo,1,40,['letrasInicialUniforme.txt'],537.154,5.01039
Maximo,1,41,['letrasInicialUniforme.txt'],536.038,5.00454
Maximo,1,42,['letrasInicialUniforme.txt'],547.38,4.96753
Maximo,1,43,['letrasInicialUniforme.txt'],539.369,4.85923
Maximo,1,44,['letrasInicialUniforme.txt'],546.036,4.92171
Maximo,1,45,['letrasInicialUniforme.txt'],532.172,4.96662
Maximo,1,46,['letrasInicialUniforme.txt'],529.266,4.93311
Maximo,1,47,['letrasInicialUniforme.txt'],537.007,5.00423
Maximo,1,48,['letrasInicialUniforme.txt'],527.416,5.05677
Maximo,1,49,['letrasInicialUniforme.txt'],539.173,4.8647
Maximo,1,50,['letrasInicialUniforme.txt'],525.484,4.92952
Maximo,1,1,['todoAleatorio.txt'],504.603,64.5978
Maximo,1,2,['todoAleatorio.txt'],515.337,28.3954
Maximo,1,3,['todoAleatorio.txt'],508.882,18.6325
Maximo,1,4,['todoAleatorio.txt'],509.031,14.2541
Maximo,1,5,['todoAleatorio.txt'],507.995,12.3952
Maximo,1,6,['todoAleatorio.txt'],505.905,10.1908
Maximo,1,7,['todoAleatorio.txt'],503.829,8.36247
Maximo,1,8,['todoAleatorio.txt'],511.847,8.50381
Maximo,1,9,['todoAleatorio.txt'],504.567,6.68669
Maximo,1,10,['todoAleatorio.txt'],509.656,6.75779
Maximo,1,11,['todoAleatorio.txt'],508.631,6.59492
Maximo,1,12,['todoAleatorio.txt'],505.422,6.70673
Maximo,1,13,['todoAleatorio.txt'],505.903,5.1924
Maximo,1,14,['todoAleatorio.txt'],505.066,4.90611
Maximo,1,15,['todoAleatorio.txt'],507.066,5.02355
Maximo,1,16,['todoAleatorio.txt'],503.354,5.1765
Maximo,1,17,['todoAleatorio.txt'],506.73,5.26222
Maximo,1,18,['todoAleatorio.txt'],503.226,4.97527
Maximo,1,19,['todoAleatorio.txt'],504.113,4.91882
Maximo,1,20,['todoAleatorio.txt'],542.672,5.04085
Maximo,1,21,['todoAleatorio.txt'],505.768,5.2385
Maximo,1,22,['todoAleatorio.txt'],498.325,5.01399
Maximo,1,23,['todoAleatorio.txt'],508.484,5.21442
Maximo,1,24,['todoAleatorio.txt'],505.882,4.90372
Maximo,1,25,['todoAleatorio.txt'],506.405,4.84361
Maximo,1,26,['todoAleatorio.txt'],507.59,4.90861
