Experimento,tA,tM,archivos,tiempoA,tiempoM
Maximo,1,1,['primeraLetraIgual.txt'],852.488,24.1681
Maximo,1,2,['primeraLetraIgual.txt'],874.816,24.1683
Maximo,1,3,['primeraLetraIgual.txt'],865.441,24.4155
Maximo,1,4,['primeraLetraIgual.txt'],887.772,24.9866
Maximo,1,5,['primeraLetraIgual.txt'],851.199,24.2166
Maximo,1,6,['primeraLetraIgual.txt'],847.892,24.4345
Maximo,1,7,['primeraLetraIgual.txt'],844.038,22.7953
Maximo,1,8,['primeraLetraIgual.txt'],854.278,23.8155
Maximo,1,9,['primeraLetraIgual.txt'],845.47,23.6596
Maximo,1,10,['primeraLetraIgual.txt'],879.607,24.6661
Maximo,1,11,['primeraLetraIgual.txt'],861.498,23.5081
Maximo,1,12,['primeraLetraIgual.txt'],851.077,23.6132
Maximo,1,13,['primeraLetraIgual.txt'],867.964,23.8365
Maximo,1,14,['primeraLetraIgual.txt'],862.372,23.987
Maximo,1,15,['primeraLetraIgual.txt'],874.747,24.6487
Maximo,1,16,['primeraLetraIgual.txt'],874.028,24.5736
Maximo,1,17,['primeraLetraIgual.txt'],857.057,23.1213
Maximo,1,18,['primeraLetraIgual.txt'],837.778,24.0899
Maximo,1,19,['primeraLetraIgual.txt'],840.883,24.2144
Maximo,1,20,['primeraLetraIgual.txt'],838.41,23.5062
Maximo,1,21,['primeraLetraIgual.txt'],836.317,23.5949
Maximo,1,22,['primeraLetraIgual.txt'],852.631,23.7371
Maximo,1,23,['primeraLetraIgual.txt'],869.385,24.1769
Maximo,1,24,['primeraLetraIgual.txt'],844.097,23.8604
Maximo,1,25,['primeraLetraIgual.txt'],880.897,24.7707
Maximo,1,26,['primeraLetraIgual.txt'],853.777,23.9271
Maximo,1,27,['primeraLetraIgual.txt'],842.122,24.1775
Maximo,1,28,['primeraLetraIgual.txt'],883.682,24.5271
Maximo,1,29,['primeraLetraIgual.txt'],882.745,23.6885
Maximo,1,30,['primeraLetraIgual.txt'],1019.97,24.8771
Maximo,1,31,['primeraLetraIgual.txt'],922.24,22.9036
Maximo,1,32,['primeraLetraIgual.txt'],854.196,24.8137
Maximo,1,33,['primeraLetraIgual.txt'],884.146,25.1267
Maximo,1,34,['primeraLetraIgual.txt'],837.169,23.7718
Maximo,1,35,['primeraLetraIgual.txt'],851.715,24.13
Maximo,1,36,['primeraLetraIgual.txt'],857.032,24.8093
Maximo,1,37,['primeraLetraIgual.txt'],872.433,23.263
Maximo,1,38,['primeraLetraIgual.txt'],876.684,26.9717
Maximo,1,39,['primeraLetraIgual.txt'],821.921,24.896
Maximo,1,40,['primeraLetraIgual.txt'],810.712,22.1452
Maximo,1,41,['primeraLetraIgual.txt'],828.644,24.2437
Maximo,1,42,['primeraLetraIgual.txt'],814.749,22.4626
Maximo,1,43,['primeraLetraIgual.txt'],888.023,24.1259
Maximo,1,44,['primeraLetraIgual.txt'],890.134,24.9269
Maximo,1,45,['primeraLetraIgual.txt'],905.698,24.7738
Maximo,1,46,['primeraLetraIgual.txt'],905.877,27.4626
Maximo,1,47,['primeraLetraIgual.txt'],911.219,24.9416
Maximo,1,48,['primeraLetraIgual.txt'],896.78,24.7515
Maximo,1,49,['primeraLetraIgual.txt'],899.179,25.9182
Maximo,1,50,['primeraLetraIgual.txt'],890.804,25.2523
