Experimento,tA,tM,archivos,tiempoA,tiempoM
Maximo,1,35,['todoAleatorio.txt'],739.767,7.063
Maximo,1,36,['todoAleatorio.txt'],742.15,7.14065
Maximo,1,37,['todoAleatorio.txt'],742.003,7.19976
Maximo,1,38,['todoAleatorio.txt'],737.536,7.09963
Maximo,1,39,['todoAleatorio.txt'],743.511,7.13661
Maximo,1,40,['todoAleatorio.txt'],739.958,7.08444
Maximo,1,41,['todoAleatorio.txt'],737.699,7.16689
Maximo,1,42,['todoAleatorio.txt'],742.887,7.09109
Maximo,1,43,['todoAleatorio.txt'],743.67,7.13607
Maximo,1,44,['todoAleatorio.txt'],762.598,7.33908
Maximo,1,45,['todoAleatorio.txt'],741.374,7.18838
Maximo,1,46,['todoAleatorio.txt'],745.406,7.21364
Maximo,1,47,['todoAleatorio.txt'],735.865,7.21898
Maximo,1,48,['todoAleatorio.txt'],744.812,7.22405
Maximo,1,49,['todoAleatorio.txt'],752.488,7.251
Maximo,1,50,['todoAleatorio.txt'],741.272,7.20877
